Age_group,sex,population
0-4,Male,286552
0-4,Female,261032
5-9,Male,319915
5-9,Female,290900
10-14,Male,284465
10-14,Female,260411
15-19,Male,334021
15-19,Female,322072
20-24,Male,410036
20-24,Female,427929
25-29,Male,461032
25-29,Female,491662
30-34,Male,442634
30-34,Female,472356
35-39,Male,401918
35-39,Female,428924
40-44,Male,338154
40-44,Female,349193
45-49,Male,310729
45-49,Female,311283
50-54,Male,249882
50-54,Female,264591
55-59,Male,200122
55-59,Female,232264
60-64,Male,148630
60-64,Female,191062
65-69,Male,84044
65-69,Female,119591
70-74,Male,42311
70-74,Female,66187
75-79,Male,29843
75-79,Female,52633
80-84,Male,19231
80-84,Female,36607
85+,Male,17723
85+,Female,33143
